=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:16:07 =~=~=~=~=~=~=~=~=~=~=~=
pump open;
21244;9904050
21271;9903870
21297;9903196
21323;9903576
21349;9903590
21376;9903419
21402;9903813
21428;9903922
21454;9903220
21481;9903700
21507;9902699
21533;9903699
21559;9904458
21585;9903472
21611;9903101
21638;9903713
21664;9903040
21691;9903956
21716;9903462
21743;9903287
21769;9903211
21795;9903301
21822;9903201
21848;9903524
21873;9903666
21900;9903120
21926;9903709
21952;9904159
21978;9903931
22005;9903311
22031;9903670
22057;9904216
22083;9904140
22110;9903576
22136;9903050
22162;9903452
22188;9903552
22214;9903675
22241;9903059
22267;9904065
22293;9903159
22320;9902732
22346;9902718
22372;9903012
22398;9904074
22424;9902903
22450;9902585
22477;9903045
22503;9903244
22529;9902732
22555;9903666
22582;9903410
22608;9903064
22634;9902770
22660;9903419
22686;9902604
22713;9902955
22739;9903382
22765;9903638
22791;9903907
22817;9902993
22843;9903566
22870;9903273
22897;9901864
22923;9902998
22948;9903704
22975;9903135
23001;9903618
23027;9902732
23053;9903566
23080;9903609
23106;9903135
23132;9903665
23158;9902637
23184;9903202
23211;9903320
23237;9902457
23263;9902713
23290;9901974
23316;9903452
23342;9902936
23368;9902400
23394;9903016
23421;9903192
23447;9902717
23472;9902699
23499;9902343
23526;9903481
23552;9903296
23577;9903135
23604;9902656
23630;9904349
23656;9902998
23683;9904002
23708;9903552
23735;9903638
23761;9903562
23787;9903472
23813;9903704
23840;9903277
23866;9902955
23892;9903007
23919;9902756
23945;9902035
23971;9902215
23997;9902220
24024;9902248
24049;9902727
24076;9903780
24102;9903130
24128;9901769
24154;9901803
24181;9901689
24207;9902215
24233;9902846
24259;9902955
24285;9903040
24312;9901869
24338;9902016
24364;9901727
24391;9902362
24416;9902319
24443;9903211
24469;9903708
24496;9902845
24521;9902941
24548;9902684
24574;9903367
24600;9903011
24626;9902888
24652;9902201
24679;9902907
24705;9903121
24731;9902770
24757;9902258
24784;9902443
24810;9902277
24836;9902998
24863;9902495
24888;9902742
24915;9902675
24941;9902760
24967;9903196
24994;9902670
25019;9902595
25046;9902447
25072;9902348
25098;9902177
25124;9901561
25151;9901968
25177;9901722
25203;9902358
25230;9902333
25255;9901959
25282;9902248
25308;9902466
25334;9902888
25360;9902358
25387;9902827
25413;9902125
25439;9902651
25465;9902566
25491;9902850
25518;9902078
25544;9902461
25570;9902709
25596;9902519
25623;9902358
25648;9901921
25675;9901381
25701;9903068
25727;9902405
25754;9903102
25779;9901931
25806;9901542
25832;9902538
25859;9901879
25884;9903012
25911;9901613
25937;9902073
25964;9902234
25989;9902220
26016;9901618
26042;9901954
26068;9902581
26094;9902457
26121;9902998
26147;9902628
26173;9902030
26199;9902481
26226;9902433
26252;9902367
26278;9902495
26304;9902381
26331;9902523
26356;9901874
26383;9902016
26409;9902661
26436;9901732
26462;9901817
26487;9902666
26514;9902229
26540;9901666
26566;9902282
26593;9902509
26618;9901860
26645;9902220
26671;9902903
26697;9901793
26723;9902315
26750;9901997
26776;9902153
26802;9902917
26829;9902552
26854;9902305
26881;9902035
26907;9900888
26933;9901722
26959;9902191
26986;9902528
27012;9901480
27038;9902452
27064;9902291
27091;9902907
27117;9901888
27143;9902125
27169;9902390
27195;9901139
27222;9900878
27248;9902049
27274;9902305
27300;9902267
27327;9901533
27352;9901386
27379;9902102
27405;9902898
27432;9902713
27458;9903206
27484;9903609
27510;9902590
27537;9902978
27563;9902841
27588;9902784
27615;9902884
27641;9902614
27667;9902959
27693;9903045
27720;9902855
27746;9902713
27772;9903093
27798;9902775
27824;9902523
27850;9903438
27877;9903087
27903;9902618
27929;9901997
27956;9902372
27982;9902305
28008;9903102
28034;9902139
28060;9901974
28086;9902400
28113;9901641
28139;9901779
28165;9901718
28192;9902196
28218;9901509
28244;9901860
28271;9901670
28297;9902230
28323;9901385
28349;9902656
28375;9902732
28401;9901736
28428;9901916
28454;9902348
28480;9902144
28506;9902083
28532;9901390
28559;9902149
28585;9901532
28611;9901608
28637;9901793
28664;9901367
28689;9901338
28716;9901670
28742;9900428
28768;9901869
28795;9901893
28820;9902372
28847;9901324
28873;9901437
28899;9901210
28925;9901699
28952;9901134
28978;9901485
29004;9901471
29030;9902144
29057;9902168
29083;9901618
29109;9901969
29135;9901471
29162;9901689
29187;9901827
29214;9901864
29240;9901604
29266;9901357
29293;9901290
29319;9901566
29345;9901623
29371;9901869
29398;9901869
29424;9901570
29450;9901627
29476;9901599
29502;9901608
29528;9902068
29555;9901375
29581;9901779
29607;9900963
29633;9901087
29660;9900807
29686;9901092
29712;9902864
29739;9901594
29764;9901049
29791;9902101
29817;9901115
29843;9901277
29869;9901461
29895;9901443
29922;9902201
29948;9901296
29974;9901390
30001;9901125
30026;9901974
30053;9901471
30079;9901338
30106;9900774
30131;9901305
30158;9901319
30184;9901362
30210;9901201
30236;9901561
30263;9900603
30289;9901765
30315;9901210
30342;9901428
30367;9900727
30394;9901021
30420;9901959
30446;9902092
30472;9901565
30499;9901741
30525;9901523
30551;9902580
30577;9902428
30603;9901746
30630;9902376
30656;9901708
30682;9901148
30708;9901798
30735;9901936
30760;9901869
30787;9901513
30813;9901954
30840;9901348
30865;9902751
30892;9902097
30918;9901641
30944;9901442
30970;9900646
30997;9901077
31023;9902059
31049;9901955
31076;9902182
31101;9901485
31128;9902338
31154;9901964
31180;9902073
31206;9900997
31232;9901741
31259;9901580
31285;9900760
31311;9901775
31338;9901907
31363;9901348
31390;9901433
31416;9901684
31442;9902168
31469;9900931
31494;9900997
31521;9901556
31547;9902191
31573;9902927
31600;9902480
31626;9901376
31652;9901969
31679;9901689
31704;9900627
31731;9901286
31757;9901390
31783;9902139
31809;9901300
31835;9900878
31862;9901276
31888;9901850
31914;9901746
31940;9901205
31966;9900863
31993;9901390
32019;9901220
32045;9900688
32071;9900641
32098;9902575
32123;9901395
32150;9901390
32177;9900347
32202;9900717
32229;9901684
32255;9900589
32281;9901106
32308;9901357
32333;9902485
32360;9901798
32386;9901571
32412;9901243
32439;9901803
32464;9901727
32491;9901718
32517;9901788
32544;9901774
32569;9901594
32596;9902358
32622;9901414
32648;9902116
32674;9902163
32701;9902244
32727;9901556
32753;9902319
32779;9902050
32806;9902120
32832;9902447
32858;9901774
32884;9902073
32910;9902580
32937;9902647
32963;9901282
32989;9902077
33015;9901011
33041;9902087
33068;9902457
33094;9901926
33120;9902144
33147;9901357
33173;9902016
33199;9902324
33225;9901390
33251;9901964
33277;9902030
33304;9900798
33329;9902372
33356;9902102
33382;9902050
33409;9901404
33434;9901011
33461;9901713
33487;9902837
33513;9900992
33540;9902073
33566;9901618
33592;9902016
33618;9901348
33645;9901912
33670;9901357
33697;9902187
33723;9901779
33749;9901784
33775;9901978
33802;9901575
33828;9901059
33854;9901210
33881;9901803
33906;9901011
33933;9901338
33959;9901286
33985;9901338
34011;9900295
34037;9901594
34064;9900452
34090;9901575
34116;9900527
34143;9900570
34168;9901381
34195;9901395
34221;9900361
34247;9900807
34274;9901538
34299;9901007
34326;9901594
34352;9900831
34378;9900731
34405;9900959
34431;9901376
34457;9901115
34483;9900210
34509;9900475
34536;9899907
34562;9900613
34588;9901495
34614;9901134
34640;9901115
34666;9902201
34693;9901277
34719;9901410
34745;9901769
34771;9902234
34798;9901011
34824;9901803
34850;9902604
34876;9900926
34903;9901470
34929;9900689
34955;9901666
34981;9901504
35008;9901025
35033;9900945
35060;9902016
35086;9900755
35112;9901395
35139;9901239
35164;9901077
35191;9901272
35218;9901162
35243;9901154
35270;9900812
35296;9900613
35322;9901433
35348;9901660
35375;9900300
35401;9900964
35427;9901713
35453;9901139
35479;9901305
35506;9901111
35531;9900717
35558;9901850
35585;9901462
35610;9901727
35637;9902366
35663;9901784
35689;9902457
35715;9901774
35742;9903040
35768;9901974
35794;9901608
35820;9901570
35846;9901196
35872;9902030
35899;9900997
35925;9901282
35951;9901404
35978;9901693
36003;9901945
36030;9901888
36056;9901329
36083;9901760
36108;9901608
36135;9902400
36161;9901196
36187;9901608
36213;9901822
36240;9901485
36266;9901561
36292;9901101
36319;9901039
36344;9901661
36371;9901859
36397;9901428
36423;9900850
36449;9900855
36476;9901637
36502;9901542
36528;9900712
36554;9900722
36580;9901177
36607;9901462
36633;9900656
36659;9900452
36686;9901272
36711;9902343
36738;9901324
36764;9901011
36790;9901637
36816;9900968
36842;9901086
36869;9901476
36895;9901049
36921;9901073
36948;9901234
36973;9901187
37000;9901077
37026;9901390
37052;9901020
37079;9901068
37105;9901092
37131;9902424
37157;9901883
37184;9900727
37210;9901480
37236;9901831
37262;9901111
37289;9901101
37314;9901456
37341;9901471
37367;9902059
37393;9901324
37420;9901059
37445;9901286
37472;9901295
37498;9901883
37524;9901295
37550;9901300
37576;9901168
37603;9900257
37629;9901324
37655;9900560
37682;9901470
37707;9901637
37734;9902187
37760;9901618
37786;9901627
37812;9901200
37839;9902206
37865;9901257
37891;9901016
37918;9901575
37943;9907843
37970;9901239
37996;9901523
38022;9900906
38049;9901054
38074;9900760
38101;9901627
38127;9901011
38153;9901054
38180;9901319
38205;9900736
38232;9900944
38258;9900798
38284;9900409
38311;9900940
38337;9900774
38363;9901471
38389;9902618
38416;9901376
38442;9899873
38468;9901324
38494;9901864
38520;9901817
38547;9900343
38573;9900461
38599;9901215
38626;9900897
38651;9900636
38678;9902950
38704;9900845
38730;9900997
38757;9901732
38782;9901205
38809;9901338
38835;9901073
38861;9900940
38888;9900750
38913;9900494
38940;9901570
38966;9902025
38993;9900722
39018;9900893
39045;9900973
39071;9901086
39097;9900906
39123;9900878
39149;9900864
39175;9901594
39202;9900769
39228;9901689
39254;9901461
39281;9901125
39307;9901253
39333;9901461
39359;9901329
39385;9900831
39412;9900551
39438;9901575
39464;9901172
39491;9901020
39517;9900883
39543;9899821
39569;9900537
39595;9901229
39621;9901215
39647;9901362
39674;9901376
39700;9901059
39727;9901617
39752;9900783
39778;9902253
39805;9901988
39831;9900688
39858;9901300
39883;9901206
39910;9900741
39936;9900736
39962;9901585
39989;9900437
40015;9900542
40040;9900608
40067;9900698
40093;9901589
40120;9900253
40146;9900062
40172;9900523
40198;9900703
40224;9900897
40251;9900679
40277;9901381
40303;9901599
40329;9901556
40355;9901978
40382;9901305
40408;9900551
40434;9900727
40460;9900504
40486;9900565
40513;9901362
40539;9901755
40565;9900485
40591;9901357
40617;9901191
40643;9900176
40670;9900873
40696;9901139
40722;9900717
40749;9901385
40774;9901016
40801;9900888
40828;9900518
40853;9901623
40880;9901542
40906;9901703
40932;9900594
40959;9901565
40984;9901234
41011;9901404
41037;9901286
41063;9902343
41089;9901646
41116;9901883
41142;9901864
41168;9902172
41194;9901390
41221;9901988
41246;9901385
41273;9901552
41299;9901590
41325;9900973
41352;9900565
41377;9901006
41404;9900992
41430;9900926
41456;9900532
41483;9901191
41508;9901206
41535;9900105
41562;9900285
41587;9900091
41614;9900812
41640;9901115
41666;9901001
41693;9900840
41718;9900845
41745;9901376
41771;9900931
41797;9902016
41823;9901608
41850;9900437
41876;9900518
41902;9899806
41929;9901523
41954;9901542
41981;9901206
42007;9900324
42033;9900333
42059;9900712
42085;9900589
42112;9900219
42138;9900907
42165;9901096
42190;9900674
42217;9900983
42242;9900836
42269;9900608
42296;9900409
42322;9900551
42348;9900898
42374;9900134
42400;9900091
42426;9900551
42453;9900124
42479;9900319
42505;9900120
42531;9900394
42557;9900983
42583;9900509
42610;9901272
42636;9901196
42662;9901295
42689;9900082
42714;9900826
42741;9900580
42768;9899840
42793;9900461
42820;9900584
42845;9900386
42872;9899812
42899;9899783
42924;9901257
42950;9900224
42977;9900945
43003;9900376
43030;9900200
43055;9901504
43082;9900665
43108;9900883
43134;9900736
43160;9900380
43187;9900035
43213;9901305
43239;9900461
43266;9900570
43291;9899669
43318;9900423
43344;9899883
43370;9900655
43397;9901016
43423;9900765
43448;9900727
43475;9900641
43502;9901224
43527;9900319
43554;9900432
43580;9900988
43606;9899527
43632;9899603
43658;9900404
43685;9900295
43711;9901200
43737;9901665
43763;9899745
43790;9899911
43816;9900309
43842;9900285
43868;9900651
43894;9899859
43921;9899779
43946;9899313
43973;9899437
44000;9900286
44025;9900494
44052;9899859
44078;9901367
44104;9899864
44131;9900029
44157;9899935
44182;9901590
44209;9899536
44235;9899494
44261;9900224
44288;9900802
44314;9900305
44340;9899428
44366;9899442
44393;9899413
44418;9899043
44445;9900347
44471;9899953
44497;9900485
44524;9900589
44550;9900561
44576;9900959
44603;9901049
44628;9900551
44655;9900167
44681;9900475
44707;9901309
44733;9900508
44760;9899920
44785;9900233
44812;9900338
44838;9901300
44864;9900029
44891;9901077
44917;9900912
44943;9901006
44969;9900793
44995;9900044
45022;9900167
45048;9900120
45074;9899944
45100;9900186
45127;9900413
45152;9899954
45179;9900025
45205;9901637
45231;9900708
45257;9900717
45284;9900272
45310;9900760
45336;9900101
45363;9900395
45389;9900580
45415;9900693
45441;9899518
45467;9901290
45494;9900352
45520;9901021
45546;9900527
45572;9900764
45598;9900144
45625;9900177
45651;9900318
45677;9900509
45703;9900489
45730;9900594
45755;9900304
45782;9900191
45808;9900508
45834;9900522
45860;9900489
45887;9900760
45913;9899446
45939;9900248
45966;9900343
45991;9899987
46018;9899816
46044;9900466
46071;9900366
46096;9900072
46123;9900594
46149;9900603
46175;9899906
46202;9899954
46227;9900191
46254;9900338
46280;9900295
46306;9901267
46332;9900446
46359;9900423
46385;9901509
46411;9900361
46437;9899309
46464;9900319
46490;9901191
46516;9900764
46542;9902106
46569;9900138
46595;9900888
46621;9899783
46647;9900485
46674;9900485
46699;9900783
46726;9900542
46752;9900366
46778;9900423
46804;9900698
46831;9900845
46857;9900973
46882;9900167
46909;9899901
46936;9899745
46961;9899617
46988;9900731
47014;9899143
47040;9900352
47066;9899935
47093;9900859
47119;9900229
47145;9900115
47172;9899503
47197;9900855
47224;9899646
47250;9899906
47276;9900532
47302;9900233
47329;9900020
47355;9900252
47381;9899958
47407;9899792
47433;9900447
47460;9899764
47486;9899940
47512;9899944
47538;9900414
47564;9900788
47591;9900025
47617;9899290
47644;9899759
47669;9900817
47696;9900196
47722;9901276
47748;9900935
47774;9900599
47801;9900627
47827;9899878
47852;9900196
47879;9901746
47905;9900324
47932;9900783
47957;9900964
47984;9900319
48010;9900617
48036;9901404
48063;9900006
48088;9901001
48115;9900181
48141;9901272
48167;9900163
48194;9899461
48220;9900731
48246;9899864
48272;9900063
48299;9900916
48325;9900015
48351;9901229
48377;9901442
48404;9900632
48429;9901385
48456;9900276
48482;9900205
48508;9900110
48535;9900798
48561;9898768
48587;9898835
48613;9900205
48640;9900186
48665;9900698
48692;9899783
48718;9900319
48744;9899849
48770;9899275
48797;9900926
48823;9899636
48849;9900954
48875;9900731
48902;9900006
48927;9900342
48954;9901475
48980;9900788
49006;9900120
49033;9899527
49059;9899750
49085;9899769
49111;9901300
49138;9901490
49164;9900210
49190;9899925
49216;9900404
49243;9900177
49268;9899698
49295;9900413
49321;9899347
49347;9900025
49373;9899323
49400;9899489
49425;9900338
49452;9899760
49478;9900300
49505;9899726
49530;9899982
49557;9899484
49583;9899613
49609;9900281
49635;9899523
49662;9899826
49688;9899750
49714;9899821
49740;9900224
49767;9900547
49792;9899422
49819;9900954
49845;9900011
49871;9900053
49898;9900584
49924;9900130
49950;9900129
49976;9900394
50003;9900708
50028;9901011
50055;9900291
50082;9899788
50108;9900442
50134;9899167
50160;9899636
50186;9900399
50212;9899930
50238;9900660
50265;9899281
50291;9899935
50317;9900205
50343;9900845
50369;9899792
50396;9900376
50422;9899674
50448;9899963
50474;9900210
50501;9899077
50527;9900243
50553;9899736
50579;9899409
50606;9899755
50631;9900366
50658;9899186
50684;9900745
50710;9899570
50737;9900366
50762;9900423
50789;9900499
50816;9900864
50841;9900447
50868;9899760
50894;9899266
50920;9899219
50946;9899280
50973;9899977
50998;9899869
51025;9900134
51052;9899626
51077;9899219
51104;9899513
51130;9899702
51156;9900508
51182;9900262
51209;9899745
51234;9900219
51261;9899517
51287;9900765
51313;9898958
51340;9899271
51365;9900495
51392;9898645
51418;9900044
51445;9900115
51470;9900608
51497;9899570
51523;9900205
51549;9900039
51575;9900599
51602;9899465
51628;9899011
51654;9900774
51681;9898882
51706;9899934
51733;9899840
51759;9900333
51785;9899574
51812;9899911
51837;9899636
51864;9900091
51890;9900390
51916;9899745
51942;9900456
51969;9900433
51995;9899603
52021;9900309
52047;9899855
52074;9899641
52100;9900214
52126;9899209
52152;9899271
52178;9899451
52205;9900646
52231;9899992
52257;9900504
52283;9899987
52309;9899901
52336;9899793
52362;9900494
52388;9900248
52415;9899702
52441;9899698
52467;9900243
52493;9899537
52519;9900191
52545;9900029
52572;9899849
52598;9899294
52624;9899651
52650;9900352
52676;9898987
52703;9899385
52729;9900291
52755;9899693
52781;9901205
52807;9899788
52834;9899887
52860;9899139
52886;9899347
52912;9899309
52939;9899318
52964;9899432
52991;9899385
53017;9900532
53044;9900745
53070;9900423
53096;9899688
53122;9899176
53148;9899171
53175;9900371
53201;9898712
53227;9900077
53253;9899271
53279;9900514
53306;9900324
53332;9899579
53358;9899835
53385;9898963
53410;9899105
53437;9899736
53463;9899376
53489;9899261
53515;9900556
53541;9899527
53568;9900195
53594;9899702
53620;9899077
53647;9899205
53672;9899740
53699;9899390
53725;9899707
53751;9899465
53777;9900603
53804;9900229
53830;9900532
53856;9900499
53883;9899489
53908;9900394
53935;9900281
53961;9900271
53987;9899750
54014;9900703
54040;9899513
54065;9899821
54092;9900181
54119;9900523
54144;9899802
54171;9899835
54196;9899313
54223;9899850
54250;9899934
54275;9900281
54302;9899788
54328;9899361
54354;9899883
54380;9900836
54407;9899921
54433;9900049
54459;9900418
54486;9899343
54511;9899901
54538;9900072
54564;9900594
54590;9900072
54617;9899935
54642;9900394
54669;9900665
54695;9898697
54721;9899261
54747;9899599
54773;9899593
54800;9899655
54826;9899750
54852;9899465
54879;9899418
54904;9899233
54931;9899797
54957;9908952
54984;9899039
55009;9900343
55036;9899944
55062;9899954
55088;9900318
55115;9898868
55141;9898735
55167;9899323
55193;9899698
55219;9899494
55246;9899550
55272;9899760
55298;9899745
55324;9899731
55351;9899376
55377;9899418
55402;9899276
55429;9899935
55455;9900196
55481;9899849
55508;9899176
55533;9900266
55560;9899944
55587;9899570
55612;9898119
55639;9899152
55665;9900447
55691;9900072
55718;9899632
55744;9899968
55770;9900489
55796;9899693
55823;9899044
55848;9899224
55874;9900101
55901;9900262
55927;9899769
55953;9899702
55980;9898887
56006;9900262
56032;9899773
56058;9899039
56084;9899214
56111;9899584
56136;9899688
56163;9898839
56189;9899361
56215;9900025
56242;9899930
56268;9898849
56294;9899290
56320;9900366
56347;9900186
56373;9899888
56399;9899674
56425;9899632
56451;9899579
56478;9899489
56504;9899276
56530;9899300
56557;9899072
56582;9899300
56609;9898384
56635;9899432
56661;9899366
56687;9899427
56713;9899622
56740;9899048
56766;9899323
56792;9899958
56819;9898958
56844;9899944
56871;9900167
56897;9898986
56923;9899717
56950;9899527
56976;9899475
57002;9899409
57028;9899100
57054;9899281
57080;9899494
57107;9899650
57133;9899479
57159;9898959
57185;9899181
57212;9899598
57238;9899200
57264;9899413
57290;9900039
57316;9899684
57343;9899660
57369;9900769
57395;9899854
57421;9899603
57447;9899793
57474;9899845
57500;9899982
57526;9899793
57553;9899636
57579;9900423
57605;9899574
57631;9898972
57658;9899499
57683;9899683
57710;9900120
57736;9899901
57762;9899428
57789;9899698
57815;9898764
57841;9899138
57867;9900148
57893;9900305
57920;9900281
57946;9899005
57972;9898929
57998;9898873
58025;9899062
58051;9899518
58077;9898275
58103;9898925
58129;9899115
58155;9900252
58182;9900404
58208;9899498
58234;9899409
58260;9899318
58286;9899105
58313;9898930
58339;9900347
58365;9899422
58391;9899011
58417;9898626
58444;9898991
58470;9898598
58497;9898394
58522;9899167
58549;9898626
58575;9898944
58601;9899351
58627;9899712
58654;9899342
58679;9899005
58706;9898617
58732;9899162
58758;9899442
58785;9898811
58810;9898920
58837;9898480
58863;9898408
58889;9898541
58915;9899077
58942;9899333
58968;9898963
58994;9898242
59021;9899072
59046;9899550
59073;9899077
59099;9899129
59126;9897953
59151;9899390
59178;9899025
59204;9899043
59230;9899660
59256;9899584
59283;9898276
59309;9899409
59335;9899470
59362;9899731
59387;9899745
59414;9898570
59440;9897958
59466;9898550
59492;9898934
59519;9898711
59545;9899119
59571;9898815
59597;9899157
59623;9899157
59650;9899186
59676;9899432
59702;9899095
59728;9899025
59755;9898664
59780;9899574
59807;9899669
59833;9899190
59859;9898703
59886;9898868
59912;9898669
59938;9899451
59964;9899252
59991;9899233
60016;9898508
60043;9899186
60069;9899356
60095;9898181
60121;9900447
60148;9899769
60174;9899281
60200;9898399
60227;9899859
60252;9898882
60279;9899351
60305;9900096
60331;9900068
60358;9899228
60383;9899219
60410;9899229
60436;9899513
60462;9898882
60489;9898640
60515;9898972
60541;9899276
60567;9898233
60594;9898688
60619;9899428
60646;9899157
60672;9898441
60699;9898977
60724;9899228
60751;9898176
60777;9899290
60803;9898944
60829;9899351
60856;9898740
60882;9899200
60908;9899304
60934;9898541
60960;9899527
60987;9898859
61013;9899375
61039;9898422
61065;9900030
61092;9899674
61117;9898109
61144;9899698
61171;9899228
61196;9898678
61223;9897948
61249;9900404
61275;9899489
61302;9899110
61327;9898181
61354;9898750
61380;9898982
61406;9900836
61432;9898740
61458;9899741
61485;9898958
61511;9898702
61537;9898488
61563;9898730
61590;9898697
61616;9899039
61642;9898602
61668;9898854
61694;9899314
61721;9898949
61746;9899337
61773;9899058
61800;9898664
61825;9898555
61852;9899574
61878;9898441
61904;9899257
61931;9898636
61957;9899333
61983;9898750
62009;9898868
62035;9899200
62062;9899589
62087;9899314
62114;9898195
62140;9898475
62166;9899356
62192;9899665
62219;9899418
62245;9899081
62271;9898787
62298;9899489
62323;9899266
62350;9898465
62376;9899285
62402;9899579
62428;9899347
62455;9898654
62481;9899546
62507;9899229
62533;9899550
62559;9898641
62586;9898067
62612;9899504
62638;9899641
62664;9899214
62691;9898446
62717;9899209
62743;9898512
62770;9899044
62795;9899503
62822;9899034
62848;9899465
62874;9900058
62900;9898958
62927;9899432
62952;9898792
62979;9898631
63005;9898953
63032;9898901
63057;9899385
63084;9898797
63110;9898375
63136;9899195
63162;9898778
63189;9899011
63215;9899072
63241;9898385
63267;9898616
63294;9898157
63320;9898702
63346;9899579
63372;9898579
63398;9898166
63425;9897915
63451;9899167
63477;9899446
63504;9898769
63529;9898953
63556;9898626
63582;9898318
63608;9898133
63635;9899224
63660;9898399
63687;9898190
63713;9898721
63739;9898560
63765;9899011
63792;9898304
63818;9898484
63844;9898356
63870;9898043
63897;9897872
63923;9898129
63949;9897697
63975;9897821
64002;9897782
64027;9898313
64054;9897678
64080;9897706
64106;9898010
64133;9897702
64158;9898176
64185;9897815
64212;9897261
64237;9897460
64264;9898034
64289;9897100
64316;9897427
64342;9897517
64369;9898157
64395;9897199
64421;9898024
64447;9898266
64473;9897555
64499;9897067
64526;9898285
64552;9897981
64578;9897953
64605;9897137
64630;9897394
64657;9897441
64683;9898655
64709;9897412
64736;9896659
64761;9897128
64788;9897901
64814;9897512
64840;9897925
64866;9898678
64893;9897090
64919;9897010
64945;9897863
64972;9899209
64997;9897289
65024;9898484
65050;9898142
65076;9898110
65103;9898356
65128;9897384
65155;9897877
65181;9897446
65207;9897028
65234;9898053
65260;9897337
65286;9897336
65312;9897555
65338;9896948
65365;9896265
65391;9897631
65417;9895781
65443;9896446
65470;9897019
65495;9896730
65522;9897412
65548;9896616
65574;9897446
65600;9897284
65627;9896977
65653;9896474
65680;9896654
65705;9896863
65732;9897464
65758;9897171
65784;9896981
65810;9896360
65836;9895957
65863;9896844
65889;9897877
65915;9897507
65942;9895886
65967;9895658
65994;9896355
66020;9896900
66046;9896986
66072;9897782
66099;9896507
66125;9896925
66151;9897778
66177;9896834
66203;9897133
66230;9897014
66256;9897299
66282;9897109
66309;9898048
66334;9897745
66361;9896355
66387;9896706
66413;9897887
66439;9897592
66466;9896664
66492;9898181
66518;9897720
66544;9897261
66570;9896792
66597;9897062
66623;9897000
66649;9897545
66675;9897284
66702;9896754
66728;9897531
66754;9897322
66780;9897716
66806;9897797
66833;9897204
66858;9896863
66885;9896223
66912;9896848
66937;9897299
66964;9897024
66990;9896242
67016;9896805
67042;9897005
67068;9896796
67095;9897337
67121;9896014
67148;9896403
67173;9897417
67200;9897332
67226;9896872
67252;9897361
67278;9897635
67305;9897910
67330;9896469
67357;9896317
67383;9896995
67409;9896549
67435;9897047
67462;9897450
67488;9896332
67514;9896194
67540;9896635
67567;9896479
67593;9896977
67619;9897289
67645;9896683
67671;9896388
67697;9896194
67724;9897086
67751;9897986
67776;9897565
67803;9897332
67828;9896384
67855;9896403
67881;9896536
67907;9896251
67934;9896398
67960;9896223
67986;9896929
68012;9896611
68039;9896587
68065;9896355
68091;9896735
