=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 21:08:54 =~=~=~=~=~=~=~=~=~=~=~=
I received: 
inpsec      humid
inI received: humid
soec   pect;
682664;10422307
682691;10421613
682717;10421530
682743;10421691
682770;10422041
682796;10422130
682822;10421868
682848;10421701
682874;10422145
682901;10421322
682927;10421761
682953;10422046
682979;10422322
683006;10421982
683031;10422957
683058;10421839
683084;10421997
683110;10421667
683137;10421972
683163;10421928
683189;10421928
683215;10421962
683242;10422179
683267;10422474
683294;10422332
683320;10421750
683346;10421578
683373;10421647
683398;10421372
683425;10421948
683451;10421735
683478;10421924
683504;10421972
683529;10422371
683556;10421952
683583;10422134
683608;10421894
683635;10421534
683661;10421691
683687;10421943
683714;10421873
683739;10421540
683766;10421519
683792;10422095
683818;10421480
683844;10422067
683871;10421992
683897;10422165
683923;10421839
683949;10422012
683976;10421785
684001;10422346
684028;10422001
684054;10422042
684081;10422405
684106;10421824
684133;10422263
684159;10421819
684185;10422252
684211;10421711
684237;10422494
684264;10421918
684290;10421864
684316;10422104
684343;10422268
684368;10421627
684395;10421806
684421;10421811
684447;10421785
684473;10422189
684500;10422356
684526;10421312
684552;10421672
684578;10422174
684604;10421786
684631;10422288
684657;10422262
684683;10422248
684710;10421908
684736;10422071
684762;10422760
684788;10422036
684814;10421997
684841;10422405
684867;10422302
684893;10422612
684919;10422189
684945;10422120
684972;10422696
684998;10422607
685024;10422887
685050;10422549
685076;10422129
685103;10422617
685129;10422445
685155;10422455
685181;10422519
685208;10422129
685234;10422155
685260;10422597
685287;10422416
685313;10422440
685339;10422169
685364;10421839
685391;10421795
685417;10421834
685443;10422789
685469;10421819
685496;10422012
685522;10421627
685548;10421879
685575;10422518
685601;10422125
685627;10421790
685653;10422332
685679;10421756
685706;10421663
685731;10422257
685758;10421899
685784;10422046
685811;10421632
685836;10421643
685863;10421933
685889;10421874
685915;10421760
685941;10422159
685968;10421948
685994;10422263
686020;10422370
686047;10421874
686073;10421529
686099;10421731
686125;10421608
686151;10421658
686177;10422095
686203;10422124
686230;10422499
686256;10422169
686282;10421854
686309;10421637
686334;10421977
686361;10421726
686387;10422006
686414;10422223
686439;10422317
686466;10422130
686492;10422583
686519;10421731
686544;10422435
686570;10421859
686597;10422518
686623;10421849
686650;10421549
686676;10421638
686702;10422450
686728;10422104
686754;10421387
686781;10421524
686806;10421815
686833;10422277
686859;10422493
686885;10421785
686912;10422238
686938;10422120
686964;10421918
686990;10421691
687016;10422641
687042;10421701
687069;10422042
687095;10422740
687121;10422218
687148;10421740
687173;10422110
687200;10421918
687226;10422351
687253;10421903
687278;10422441
687304;10422631
687331;10422223
687358;10421913
687383;10421933
687410;10421801
687435;10421677
687462;10421858
687488;10421771
687515;10421819
687541;10421710
687566;10422155
687593;10421765
687619;10421766
687646;10421602
687672;10422130
687697;10421770
687724;10421849
687751;10421790
687776;10421726
687802;10421352
687829;10421863
687855;10421800
687882;10421711
687908;10421726
687933;10421711
687960;10422169
687986;10421864
688013;10421948
688039;10422194
688065;10421750
688091;10422223
688117;10422046
688144;10421700
688170;10421658
688196;10422164
688222;10421775
688249;10421726
688275;10421696
688300;10422120
688327;10421849
688353;10421957
688379;10421347
688405;10421785
688432;10421721
688458;10422041
688484;10422100
688510;10421672
688536;10422169
688563;10421751
688589;10421952
688615;10422302
688642;10422041
688667;10422406
688694;10422277
688720;10421977
688747;10421874
688773;10421928
688799;10421854
688825;10421908
688851;10422011
688878;10421751
688904;10421878
688930;10421810
688957;10422711
688982;10422071
689008;10422109
689035;10422637
689061;10421992
689087;10421986
689114;10422474
689140;10422484
689166;10422366
689192;10422114
689218;10421834
689245;10422514
689271;10422277
689297;10422105
689323;10422011
689350;10422140
689376;10421834
689402;10422016
689428;10422208
689454;10421785
689480;10422248
689507;10421662
689533;10421706
689559;10421406
689585;10421653
689612;10421662
689638;10421893
689664;10421874
689690;10421632
689717;10421864
689743;10421795
689769;10421810
689795;10421687
689821;10421726
689848;10421740
689874;10421884
689900;10422026
689927;10421706
689952;10421357
689979;10421007
690005;10421829
690031;10421948
690057;10421889
690084;10421721
690110;10421874
690136;10421790
690162;10421657
690189;10421519
690214;10422218
690240;10421687
690267;10422544
690293;10421672
690320;10422061
690346;10422356
690372;10421982
690398;10422594
690424;10422333
690450;10422100
690477;10422327
690503;10422062
690529;10421977
690555;10422189
690581;10422056
690608;10422583
690634;10422238
690661;10422420
690686;10421839
690712;10421918
690739;10421578
690765;10421938
690791;10422346
690818;10422430
690844;10421884
690870;10422179
690896;10421490
690922;10422327
690949;10421701
690975;10421844
691001;10421997
691028;10421298
691053;10421987
691079;10421760
691106;10421505
691132;10421573
691158;10421839
691185;10421913
691211;10421943
691237;10422272
691263;10422213
691290;10421682
691315;10421529
691342;10421555
691368;10422114
691394;10422474
691420;10421711
691447;10421829
691473;10421592
691499;10421460
691526;10421091
691552;10421485
691578;10421696
691604;10421592
691631;10421086
691656;10422076
691683;10421322
691709;10421293
691735;10421716
691761;10421027
691788;10421534
691814;10421603
691839;10421972
691866;10422016
691892;10421677
691918;10421663
691945;10421460
691971;10421781
691997;10421948
692023;10421657
692049;10422016
692076;10421839
692102;10421549
692128;10421278
692155;10421475
692181;10421450
692207;10421672
692233;10421746
692259;10421454
692286;10421525
692312;10421657
692338;10421632
692364;10421766
692391;10421603
692416;10421691
692443;10421509
692469;10421362
692495;10421597
692522;10421638
692547;10421583
692574;10421322
692600;10421514
692627;10421559
692653;10421460
692678;10421706
692705;10421366
692731;10421362
692757;10421962
692783;10421677
692809;10422076
692836;10421327
692862;10421327
692889;10421795
692915;10422253
692941;10421819
692967;10421254
692993;10421874
693020;10421903
693046;10421776
693072;10421603
693098;10422006
693125;10421756
693150;10421909
693177;10421421
693203;10421238
693229;10421469
693255;10421530
693281;10421607
693308;10421824
693334;10421819
693360;10422170
693386;10421422
693413;10422302
693439;10421819
693465;10421258
693492;10421810
693518;10421598
693544;10421854
693570;10421454
693596;10421485
693623;10421322
693649;10421652
693675;10421421
693701;10421136
693727;10421371
693753;10421603
693780;10421406
693806;10421549
693832;10422238
693858;10421583
693884;10421829
693911;10422297
693937;10421839
693963;10421612
693990;10422396
694016;10422006
694042;10422155
694068;10421770
694095;10422037
694120;10421908
694147;10421741
694173;10422145
694199;10422366
694225;10422145
694252;10421982
694278;10422696
694304;10421815
694331;10421903
694356;10422293
694383;10422361
694409;10422150
694435;10422109
694461;10422322
694488;10422484
694514;10422563
694540;10422273
694566;10422346
694592;10422395
694619;10422115
694645;10422494
694671;10422616
694698;10421801
694723;10422308
694750;10422355
694776;10422381
694802;10422051
694828;10422071
694854;10422499
694881;10422061
694907;10422336
694934;10422066
694960;10422421
694985;10422067
695012;10421849
695038;10422450
695064;10421879
695091;10422110
695117;10422661
695143;10422819
695169;10422411
695195;10422469
695222;10421981
695248;10422165
695274;10422912
695301;10422090
695326;10422538
695353;10422298
695379;10422145
695405;10422174
695432;10422174
695458;10422622
695484;10422085
695510;10422110
695536;10422066
695562;10422287
695589;10422110
695615;10421859
695641;10422593
695668;10421745
695694;10422401
695720;10422278
695746;10422056
695772;10422435
695798;10422341
695824;10422208
695851;10422415
695877;10423114
695903;10422499
695929;10423040
695956;10423026
695982;10422637
696008;10422469
696035;10423213
696060;10422922
696086;10422750
696113;10422981
696139;10422327
696166;10422489
696191;10422583
696218;10422986
696244;10422995
696270;10422711
696296;10422706
696322;10423410
696349;10422558
696375;10422686
696401;10422332
696428;10422513
696454;10422996
696480;10422622
696506;10422593
696533;10423025
696559;10422780
696585;10423276
696611;10423169
696637;10422001
696663;10422593
696690;10422174
696716;10422140
696742;10422607
696768;10422602
696795;10422621
696821;10423139
696847;10422204
696873;10422371
696899;10422336
696926;10422488
696952;10422701
696978;10422593
697004;10422647
697030;10422784
697057;10422750
697083;10422327
697109;10422563
697135;10422297
697161;10422593
697188;10422691
697214;10422883
697240;10422947
697266;10422913
697292;10422849
697319;10422493
697345;10423218
697371;10422829
697398;10423327
697424;10422789
697450;10422666
